country,year,tfr,pbom
Denmark,1960,2.57,7.8
Denmark,1961,2.55,8
Denmark,1962,2.55,8.3
Denmark,1963,2.67,8.9
Denmark,1964,2.6,9.3
Denmark,1965,2.61,9.5
Denmark,1966,2.62,10.2
Denmark,1967,2.35,11.1
Denmark,1968,2.12,11.1
Denmark,1969,2,11.3
Denmark,1970,1.95,11
Denmark,1971,2.04,12.3
Denmark,1972,2.03,14.4
Denmark,1973,1.92,17.1
Denmark,1974,1.9,18.8
Denmark,1975,1.92,21.7
Denmark,1976,1.75,24
Denmark,1977,1.66,25.9
Denmark,1978,1.67,27.9
Denmark,1979,1.6,30.7
Denmark,1980,1.55,33.2
Denmark,1981,1.44,35.7
Denmark,1982,1.43,38.3
Denmark,1983,1.38,40.6
Denmark,1984,1.4,41.9
Denmark,1985,1.45,43
Denmark,1986,1.48,43.9
Denmark,1987,1.5,44.5
Denmark,1988,1.56,44.7
Denmark,1989,1.62,46.1
Denmark,1990,1.67,46.4
Denmark,1991,1.68,46.5
Denmark,1992,1.76,46.4
Denmark,1993,1.75,46.8
Denmark,1994,1.81,46.9
Denmark,1995,1.8,46.5
Denmark,1996,1.75,46.3
Denmark,1997,1.75,45.1
Denmark,1998,1.72,44.8
Denmark,1999,1.73,44.9
Denmark,2000,1.77,44.6
Denmark,2001,1.74,44.6
Denmark,2002,1.72,44.6
Denmark,2003,1.76,44.9
Denmark,2004,1.78,45.4
Denmark,2005,1.8,45.7
Denmark,2006,1.85,46.4
Denmark,2007,1.84,46.1
Denmark,2008,1.89,46.2
Denmark,2009,1.84,46.8
Denmark,2010,1.87,47.3
Denmark,2011,1.75,49
Denmark,2012,1.73,50.6
Denmark,2013,1.67,51.5
Denmark,2014,1.69,52.5
Denmark,2015,1.71,53.8
Denmark,2016,1.79,54
Denmark,2017,1.75,54.2
Denmark,2018,1.73,54.2
Denmark,2019,1.7,54.1
Denmark,2020,NA,NA
Greece,1960,2.23,1.2
Greece,1961,2.13,1.2
Greece,1962,2.16,1.2
Greece,1963,2.14,1.2
Greece,1964,2.24,1.1
Greece,1965,2.25,1.1
Greece,1966,2.32,1
Greece,1967,2.45,1
Greece,1968,2.42,1.1
Greece,1969,2.36,1.1
Greece,1970,2.4,1.1
Greece,1971,2.32,1.2
Greece,1972,2.32,1.2
Greece,1973,2.27,1.3
Greece,1974,2.38,1.2
Greece,1975,2.33,1.3
Greece,1976,2.35,1.3
Greece,1977,2.27,1.3
Greece,1978,2.28,1.4
Greece,1979,2.26,1.4
Greece,1980,2.23,1.5
Greece,1981,2.09,1.6
Greece,1982,2.03,1.5
Greece,1983,1.94,1.6
Greece,1984,1.83,1.7
Greece,1985,1.67,1.8
Greece,1986,1.6,1.8
Greece,1987,1.5,2.1
Greece,1988,1.5,2.1
Greece,1989,1.4,2.1
Greece,1990,1.39,2.2
Greece,1991,1.37,2.4
Greece,1992,1.36,2.6
Greece,1993,1.32,2.8
Greece,1994,1.33,2.9
Greece,1995,1.28,3
Greece,1996,1.26,3.3
Greece,1997,1.27,3.5
Greece,1998,1.24,3.8
Greece,1999,1.23,3.9
Greece,2000,1.25,4
Greece,2001,1.25,4.3
Greece,2002,1.28,4.4
Greece,2003,1.29,4.8
Greece,2004,1.31,5.1
Greece,2005,1.34,5.1
Greece,2006,1.4,5.3
Greece,2007,1.41,5.8
Greece,2008,1.5,5.9
Greece,2009,1.5,6.6
Greece,2010,1.48,7.3
Greece,2011,1.4,7.4
Greece,2012,1.34,7.6
Greece,2013,1.29,7
Greece,2014,1.3,8.2
Greece,2015,1.33,8.8
Greece,2016,1.38,9.4
Greece,2017,1.35,10.3
Greece,2018,1.35,11.1
Greece,2019,1.34,12.4
Greece,2020,NA,NA
